"filename", "language", "JSON", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "XML", "TypeScript React", "Docker", "Ignore", "PostCSS", "Markdown", "comment", "blank", "total"
"/home/sena/Documents/ANiStorage/web/src/App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 3, 13, 193
"/home/sena/Documents/ANiStorage/web/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/sena/Documents/ANiStorage/web/src/components/BackToTop.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"/home/sena/Documents/ANiStorage/web/src/components/Button.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"/home/sena/Documents/ANiStorage/web/src/components/CardManga.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 7, 59
"/home/sena/Documents/ANiStorage/web/src/components/ConnectionStatus.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 17, 198
"/home/sena/Documents/ANiStorage/web/src/components/Dropdown.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"/home/sena/Documents/ANiStorage/web/src/components/GridWrapper.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 1, 8, 67
"/home/sena/Documents/ANiStorage/web/src/components/Link.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 6, 40
"/home/sena/Documents/ANiStorage/web/src/components/Loader.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/home/sena/Documents/ANiStorage/web/src/components/ScrollToTop.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"/home/sena/Documents/ANiStorage/web/src/components/SwitchTheme.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"/home/sena/Documents/ANiStorage/web/src/components/Toasters.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"/home/sena/Documents/ANiStorage/web/src/components/account/Comments.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 9, 113
"/home/sena/Documents/ANiStorage/web/src/components/account/Favorites.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 8, 75
"/home/sena/Documents/ANiStorage/web/src/components/account/Header.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 7, 95
"/home/sena/Documents/ANiStorage/web/src/components/account/LastPosts.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 8, 86
"/home/sena/Documents/ANiStorage/web/src/components/account/LastUpdates.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"/home/sena/Documents/ANiStorage/web/src/components/account/SharedPosts.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 7, 65
"/home/sena/Documents/ANiStorage/web/src/components/account/StatusBar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 10, 111
"/home/sena/Documents/ANiStorage/web/src/components/account/index.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/sena/Documents/ANiStorage/web/src/components/account/integrate/AllPostsModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 12, 171
